TASK_ID -- core -- memory -- disk -- time -- drop_out_rate -- num_residual_blocks
236 -- 0.802 -- 3316 -- 2437 -- 2486.934097 -- 0.6000000000000001 -- 16
376 -- 1.003 -- 3315 -- 2437 -- 1888.719342 -- 0.9500000000000001 -- 16
377 -- 1.003 -- 3331 -- 2437 -- 1894.781063 -- 0.9500000000000001 -- 17
282 -- 0.516 -- 3071 -- 2437 -- 2332.319667 -- 0.75 -- 2
290 -- 0.599 -- 3194 -- 2437 -- 2339.033485 -- 0.75 -- 10
256 -- 0.712 -- 3293 -- 2437 -- 2479.874319 -- 0.65 -- 16
360 -- 1.003 -- 3455 -- 2437 -- 2037.235107 -- 0.9500000000000001 -- 20
165 -- 0.611 -- 3092 -- 2437 -- 2903.884742 -- 0.45 -- 5
93 -- 0.527 -- 3279 -- 2437 -- 3295.798888 -- 0.25 -- 13
250 -- 0.5669999999999999 -- 3258 -- 2437 -- 2529.930493 -- 0.65 -- 10
76 -- 0.528 -- 3317 -- 2437 -- 3417.739807 -- 0.2 -- 16
67 -- 0.631 -- 3160 -- 2437 -- 3497.743714 -- 0.2 -- 7
300 -- 0.979 -- 3340 -- 2437 -- 2356.332619 -- 0.8 -- 20
113 -- 1.001 -- 3264 -- 2437 -- 3262.991209 -- 0.30000000000000004 -- 13
187 -- 1.011 -- 2739 -- 2437 -- 483.982565 -- 0.5 -- 7
299 -- 0.83 -- 3350 -- 2437 -- 2403.636638 -- 0.75 -- 19
380 -- 1.003 -- 3457 -- 2437 -- 2041.828295 -- 1.0 -- 20
223 -- 0.523 -- 3108 -- 2437 -- 2723.008697 -- 0.6000000000000001 -- 3
116 -- 0.579 -- 3338 -- 2437 -- 3286.756351 -- 0.30000000000000004 -- 16
289 -- 1.002 -- 3161 -- 2437 -- 2495.143913 -- 0.75 -- 9
310 -- 1.002 -- 3265 -- 2437 -- 2444.33132 -- 0.8 -- 10
279 -- 1.003 -- 3444 -- 2437 -- 994.438702 -- 0.7000000000000001 -- 19
270 -- 1.006 -- 2849 -- 2437 -- 590.238816 -- 0.7000000000000001 -- 10
238 -- 0.731 -- 3354 -- 2437 -- 2763.721306 -- 0.6000000000000001 -- 18
